query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
10a,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_role_type_role ON role_type(role);,"Indexes on FK join columns and filter columns speed up multi-table join on movies, companies, and cast.",,
10b,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_role_type_role ON role_type(role);,"Same join pattern as 10a; indexes on cast_info, movie_companies, and title filter columns are key.",,
10c,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);,"Indexes on country_code, production_year, and FK join columns accelerate the large multi-join query.",,
11a,CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_link_movie_id ON movie_link(movie_id);; CREATE INDEX idx_movie_link_link_type_id ON movie_link(link_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);,"Indexes on keyword lookup, link_type join, and movie FK columns accelerate this multi-table movie sequel query.",,
11b,CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_link_movie_id ON movie_link(movie_id);; CREATE INDEX idx_movie_link_link_type_id ON movie_link(link_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);,Same join structure as 11a; production_year equality and keyword lookup indexes are most beneficial.,,
11c,CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_link_movie_id ON movie_link(movie_id);; CREATE INDEX idx_movie_link_link_type_id ON movie_link(link_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);,"Indexes on keyword_id, movie FK columns, and country_code filter reduce join costs for this sequel/novel query.",,
11d,CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_link_movie_id ON movie_link(movie_id);; CREATE INDEX idx_movie_link_link_type_id ON movie_link(link_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);,"Broader version of 11c; same indexes on keyword, link, company, and title production_year apply.",,
12a,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_companies_company_type_id ON movie_companies(company_type_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_info_type_info ON info_type(info);,Indexes on movie_info and movie_info_idx join and filter columns speed up genre/rating lookups.,,
12b,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_info_type_info ON info_type(info);,Indexes on budget/rank info_type lookups and movie FK joins reduce scan costs for unsuccessful movie search.,,
12c,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_info_type_info ON info_type(info);,Same structure as 12a; genre/rating and company join indexes provide the same performance benefit.,,
